,CFBoilerOP.large_slag_carbon_content,CFBoilerOP.fly_ash_carbon_content
2020-07-27 00:00:00,3.5,7.5
2020-07-27 16:56:21,3.5,7.5
2020-07-30 00:00:00,3.25,8.06
2020-07-30 10:53:57,3.25,8.06
2020-07-31 00:00:00,3.25,8.06
2020-07-31 09:55:02,3.25,8.06
2020-08-03 00:00:00,3.5625,8.5
2020-08-03 10:27:39,3.25,8.0
2020-08-03 11:54:07,5.0,10.0
2020-08-03 11:55:20,3.0,8.0
2020-08-03 13:39:46,3.0,8.0
2020-08-04 10:50:59,2.0,8.0
2020-08-05 00:00:00,0.42,9.04
2020-08-05 08:37:53,0.42,9.04
2020-08-05 10:49:11,0.42,9.04
2020-08-05 10:49:23,0.42,9.04
2020-08-06 00:00:00,0.5,8.9
2020-08-06 09:16:42,0.5,8.9
2020-08-07 00:00:00,10.03,12.87
2020-08-07 10:23:37,10.03,12.87
2020-08-08 00:00:00,2.25,12.83
2020-08-08 09:04:48,2.25,12.83
2020-08-10 00:00:00,3.1666666666666665,9.0
2020-08-10 11:10:36,2.25,9.0
2020-08-10 11:11:05,2.25,9.0
2020-08-10 13:39:55,5.0,9.0
2020-08-11 00:00:00,1.15,8.895
2020-08-11 08:50:59,1.15,8.89
2020-08-11 09:37:07,1.15,8.9
2020-08-12 00:00:00,1.22,12.41
2020-08-12 09:08:33,1.22,12.41
2020-08-13 00:00:00,4.05,11.99
2020-08-13 09:07:24,4.05,11.99
2020-08-14 00:00:00,3.29,11.36
2020-08-14 08:44:58,3.29,11.36
2020-08-15 00:00:00,2.21,8.88
2020-08-15 09:03:01,2.21,8.88
2020-08-17 11:00:49,2.21,8.8
2020-08-18 00:00:00,0.98,9.8
2020-08-18 09:49:47,0.98,9.8
2020-08-19 08:47:42,2.44,6.6
2020-08-20 00:00:00,3.56,11.72
2020-08-20 08:32:51,3.56,11.72
2020-08-21 00:00:00,0.64,11.82
2020-08-21 10:54:42,0.64,11.82
2020-08-22 11:10:37,1.7,12.11
2020-08-22 13:08:53,11.7,12.11
2020-08-24 00:00:00,2.5,11.2
2020-08-24 08:41:52,2.5,11.2
2020-08-24 08:42:07,2.5,11.2
2020-08-25 00:00:00,0.29,10.07
2020-08-25 08:07:30,0.29,10.07
2020-08-26 00:00:00,0.58,9.64
2020-08-26 08:57:57,0.58,9.64
2020-08-26 08:58:37,0.58,9.64
2020-08-26 08:58:40,0.58,9.64
2020-08-27 12:47:32,0.53,9.63
2020-08-28 10:37:29,0.65,11.89
2020-08-29 00:00:00,0.39,10.06
2020-08-29 10:00:40,0.39,10.06
2020-08-30 00:00:00,0.79,10.86
2020-08-30 09:12:58,0.79,10.86
